Songs,Chart
Boombastic/In The Summertime,29
Summer,26
Summertime Sadness,23
The Boys Of Summer,22
Endless Summer Nights,21
"The Theme From ""A Summer Place""",21
All Summer Long,20
Beat This Summer,20
Cool For The Summer,20
Cruel Summer,20
I Know What You Did Last Summer,20
Suddenly Last Summer,20
Summer Love,20
Summertime,20
"Summertime In The LBC (From ""The Show"")",20
"Summertime, Summertime",19
Long Hot Summer,18
Sausalito Summernight,18
Summer Breeze,18
Summer Nights,18
Spirit Of The Boogie/Summer Madness,17
Summer Girls,17
Summer Of '69,17
Hot Fun In The Summertime,16
Hot Girl Summer,16
Summertime Blues,16
'Til Summer Comes Around,16
Hot Summer Nights,15
A Summer Song,14
Summer (The First Time),14
Summer Sixteen,14
Summer Vacation,14
A Little More Summertime,13
Here Comes Summer,13
In The Summertime,13
Summer Rain,13
"That Sunday, That Summer",13
"Theme From ""Summer Of '42""",13
This Summer's Gonna Hurt...,13
Almost Summer,12
Farewell My Summer Love,12
Summergirls,12
Those Lazy-Hazy-Crazy Days Of Summer,12
After The Summer's Gone,11
My Summer Love,11
My Sweet Summer Suite,11
Summer In The City,11
Summer Set,11
Summer's Gone,11
The First Day Of Summer,11
Lazy Summer Night,10
Six-Pack Summer,10
Summer Sand,10
Summertime Girls,10
Sunshine And Summertime,10
Wonderful Summer,10
One Summer Night,9
Summer Samba (So Nice),9
Summer Wine,9
"Theme From ""A Summer Place""",9
West Coast Summer Nights,9
Happy Summer Days,8
Indian Summer,8
Rain In The Summertime,8
Summer Souvenirs,8
Summertime Summertime,8
(Theme from) A Summer Place,7
Cloudy Summer Afternoon (Raindrops),7
Groovy Summertime,7
Summer And Sandy,7
Summer Breeze (Part 1),7
Summer Bunnies,7
Summer Dreams,7
Summer Sounds,7
Summer Wind,7
Summer's Comin',7
The Green Leaves Of Summer,7
Violence Of Summer (Love's Taking Over),7
Wombling Summer Party,7
In The Summer Of His Years,6
It's Summer,6
Lonely Summer,6
On The Beach (In The Summertime),6
Summer Of '42,6
Sweet Summer Music,6
The Things We Did Last Summer,6
Or A Day At The Beach With Pedro & Man - P,5
Summer Means Fun,5
Summer Sun,5
Summertime Magic,5
Warm Summer Daze,5
Long Hot Summer Nights,4
Never Dreamed You'd Leave In Summer,4
What's Gonna Happen When Summer's Done,4
Let's Go Steady For The Summer,3
Petticoat White (Summer Sky Blue),3
Stay And Love Me All Summer,3
Summer '81 medley,3
Sweet Summer Lovin',3
(I Remember) Summer Morning,2
Feels Like Summer,2
Silly Ol' Summertime,2
Summer Games,2
Summer Side Of Life,2
Summer's Love,2
Girls In Their Summer Clothes,1
Summer Days,1
The Magic Of Our Summer Love,1
Wasn't The Summer Short?,1
