WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,
10/18/1975,90,(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P,Cheech & Chong,(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - PCheech & Chong,1,,90,1,0
10/25/1975,79,(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P,Cheech & Chong,(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - PCheech & Chong,1,90,79,2,
11/1/1975,59,(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P,Cheech & Chong,(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - PCheech & Chong,1,79,59,3,
11/8/1975,54,(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P,Cheech & Chong,(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - PCheech & Chong,1,59,54,4,
11/15/1975,54,(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P,Cheech & Chong,(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - PCheech & Chong,1,54,54,5,
8/29/1970,98,(I Remember) Summer Morning,Vanity Fare,(I Remember) Summer MorningVanity Fare,1,,98,1,
9/5/1970,98,(I Remember) Summer Morning,Vanity Fare,(I Remember) Summer MorningVanity Fare,1,98,98,2,
8/4/1962,90,(Theme from) A Summer Place,Dick Roman,(Theme from) A Summer PlaceDick Roman,1,,90,1,
8/11/1962,84,(Theme from) A Summer Place,Dick Roman,(Theme from) A Summer PlaceDick Roman,1,90,84,2,
8/18/1962,73,(Theme from) A Summer Place,Dick Roman,(Theme from) A Summer PlaceDick Roman,1,84,73,3,
8/25/1962,68,(Theme from) A Summer Place,Dick Roman,(Theme from) A Summer PlaceDick Roman,1,73,68,4,
9/1/1962,65,(Theme from) A Summer Place,Dick Roman,(Theme from) A Summer PlaceDick Roman,1,68,65,5,
9/8/1962,64,(Theme from) A Summer Place,Dick Roman,(Theme from) A Summer PlaceDick Roman,1,65,64,6,
9/15/1962,67,(Theme from) A Summer Place,Dick Roman,(Theme from) A Summer PlaceDick Roman,1,64,64,7,
8/6/2016,90,A Little More Summertime,Jason Aldean,A Little More SummertimeJason Aldean,1,,90,1,
10/1/2016,69,A Little More Summertime,Jason Aldean,A Little More SummertimeJason Aldean,2,,69,2,
10/8/2016,75,A Little More Summertime,Jason Aldean,A Little More SummertimeJason Aldean,2,69,69,3,
10/15/2016,71,A Little More Summertime,Jason Aldean,A Little More SummertimeJason Aldean,2,75,69,4,
